Instance,firstObjective,finalObjective,time(s)
B-n31-k5-r8_1_2_0.5,188.651,178.95,0.93
B-n31-k5-r8_1_2_1.00,178.95,178.95,0.70
B-n31-k5-r8_1_2_2.00,237.03,178.95,0.75
B-n31-k5-r8_2_2_0.50,237.75,178.95,0.74
B-n31-k5-r8_2_2_1.00,221.49,178.95,0.74
B-n31-k5-r8_2_2_2.00,265.25,178.95,0.74
B-n31-k5-r8_3_2_0.50,221.42,178.95,0.73
B-n31-k5-r8_3_2_1.00,221.87,178.95,0.71
B-n31-k5-r8_3_2_2.00,233.29,178.95,0.75
B-n31-k5-r8_1_3_0.50,232.25,178.95,0.71
B-n31-k5-r8_1_3_1.00,230.35,178.95,0.71
B-n31-k5-r8_1_3_2.00,228.22,178.95,0.68
B-n31-k5-r8_2_3_0.50,232.14,178.95,0.69
B-n31-k5-r8_2_3_1.00,189.58,178.95,0.72
B-n31-k5-r8_2_3_2.00,221.37,178.95,0.66
B-n31-k5-r8_3_3_0.50,225.80,178.95,0.71
B-n31-k5-r8_3_3_1.00,178.95,178.95,0.66
B-n31-k5-r8_3_3_2.00,189.58,178.95,0.73
B-n31-k5-r8_1_4_0.50,224.63,178.95,0.72
B-n31-k5-r8_1_4_1.00,184.44,178.95,0.69
B-n31-k5-r8_1_4_2.00,221.58,178.95,0.72
B-n31-k5-r8_2_4_0.50,189.14,178.95,0.68
B-n31-k5-r8_2_4_1.00,178.95,178.95,0.64
B-n31-k5-r8_2_4_2.00,226.37,178.95,0.70
B-n31-k5-r8_3_4_0.50,219.92,178.95,0.71
B-n31-k5-r8_3_4_1.00,230.71,178.95,0.64
B-n31-k5-r8_3_4_2.00,189.58,178.95,0.64
B-n31-k5-r8_1_5_0.50,223.61,178.95,0.79
B-n31-k5-r8_1_5_1.00,236.61,178.95,0.73
B-n31-k5-r8_1_5_2.00,229.88,178.95,0.65
B-n31-k5-r8_2_5_0.50,218.03,178.95,0.70
B-n31-k5-r8_2_5_1.00,188.08,178.95,0.65
B-n31-k5-r8_2_5_2.00,215.69,178.95,0.74
B-n31-k5-r8_3_5_0.50,211.19,178.95,0.71
B-n31-k5-r8_3_5_1.00,189.59,178.95,0.81
B-n31-k5-r8_3_5_2.00,184.44,178.95,0.76
B-n31-k5-r12_1_2_0.50,253.81,189.58,0.74
B-n31-k5-r12_1_2_1.00,229.06,189.58,0.86
B-n31-k5-r12_1_2_2.00,189.58,189.58,0.91
B-n31-k5-r12_2_2_0.50,255.14,189.58,0.83
B-n31-k5-r12_2_2_1.00,231.37,189.58,0.78
B-n31-k5-r12_2_2_2.00,239.09,189.58,0.84
B-n31-k5-r12_3_2_0.50,245.39,189.58,0.78
B-n31-k5-r12_3_2_1.00,254.50,189.58,0.82
B-n31-k5-r12_3_2_2.00,189.58,189.58,0.72
B-n31-k5-r12_1_3_0.50,231.16,189.58,0.67
B-n31-k5-r12_1_3_1.00,189.58,189.58,0.71
B-n31-k5-r12_1_3_2.00,189.58,189.58,0.75
B-n31-k5-r12_2_3_0.50,188.17,188.17,0.78
B-n31-k5-r12_2_3_1.00,189.58,189.58,0.68
B-n31-k5-r12_2_3_2.00,216.49,189.58,0.72
B-n31-k5-r12_3_3_0.50,189.58,189.58,0.67
B-n31-k5-r12_3_3_1.00,237.60,189.58,0.70
B-n31-k5-r12_3_3_2.00,226.71,189.58,0.69
B-n31-k5-r12_1_4_0.50,189.58,189.58,0.69
B-n31-k5-r12_1_4_1.00,224.98,189.58,0.68
B-n31-k5-r12_1_4_2.00,235.62,188.17,0.84
B-n31-k5-r12_2_4_0.50,188.17,188.17,0.83
B-n31-k5-r12_2_4_1.00,189.58,189.58,0.66
B-n31-k5-r12_2_4_2.00,189.58,188.17,0.87
B-n31-k5-r12_3_4_0.50,189.58,188.17,0.86
B-n31-k5-r12_3_4_1.00,189.58,189.58,0.69
B-n31-k5-r12_3_4_2.00,189.58,189.58,0.70
B-n31-k5-r12_1_5_0.50,188.34,188.17,0.71
B-n31-k5-r12_1_5_1.00,231.84,189.58,0.70
B-n31-k5-r12_1_5_2.00,226.43,188.17,0.88
B-n31-k5-r12_2_5_0.50,189.58,188.17,1.20
B-n31-k5-r12_2_5_1.00,189.58,188.17,0.88
B-n31-k5-r12_2_5_2.00,234.50,188.04,1.39
B-n31-k5-r12_3_5_0.50,229.88,189.58,0.68
B-n31-k5-r12_3_5_1.00,189.58,188.04,1.10
B-n31-k5-r12_3_5_2.00,189.58,188.17,0.76
B-n31-k5-r16_1_2_0.50,230.74,176.39,1.05
B-n31-k5-r16_1_2_1.00,240.52,176.39,1.02
B-n31-k5-r16_1_2_2.00,235.88,176.39,1.09
B-n31-k5-r16_2_2_0.50,254.80,176.39,0.84
B-n31-k5-r16_2_2_1.00,189.24,176.39,1.22
B-n31-k5-r16_2_2_2.00,189.31,176.39,1.01
B-n31-k5-r16_3_2_0.50,238.82,176.39,1.27
B-n31-k5-r16_3_2_1.00,236.83,176.39,0.78
B-n31-k5-r16_3_2_2.00,224.54,176.39,1.41
B-n31-k5-r16_1_3_0.50,242.89,176.39,1.24
B-n31-k5-r16_1_3_1.00,187.71,176.39,0.95
B-n31-k5-r16_1_3_2.00,236.28,176.39,0.79
B-n31-k5-r16_2_3_0.50,241.58,176.39,0.80
B-n31-k5-r16_2_3_1.00,176.39,176.39,0.76
B-n31-k5-r16_2_3_2.00,219.92,176.39,1.53
B-n31-k5-r16_3_3_0.50,176.39,176.39,1.15
B-n31-k5-r16_3_3_1.00,229.67,176.39,0.87
B-n31-k5-r16_3_3_2.00,176.39,176.39,0.74
B-n31-k5-r16_1_4_0.50,187.71,176.39,0.85
B-n31-k5-r16_1_4_1.00,189.58,176.39,0.80
B-n31-k5-r16_1_4_2.00,189.58,176.39,0.79
B-n31-k5-r16_2_4_0.50,188.34,176.39,0.81
B-n31-k5-r16_2_4_1.00,225.55,176.39,0.94
B-n31-k5-r16_2_4_2.00,189.58,176.39,0.81
B-n31-k5-r16_3_4_0.50,187.71,176.39,0.75
B-n31-k5-r16_3_4_1.00,176.39,176.39,0.85
B-n31-k5-r16_3_4_2.00,176.39,176.39,0.93
B-n31-k5-r16_1_5_0.50,222.87,176.39,0.81
B-n31-k5-r16_1_5_1.00,189.58,176.39,0.85
B-n31-k5-r16_1_5_2.00,212.28,176.39,1.32
B-n31-k5-r16_2_5_0.50,184.36,176.39,0.97
B-n31-k5-r16_2_5_1.00,188.04,176.39,1.11
B-n31-k5-r16_2_5_2.00,189.58,176.39,0.82
B-n31-k5-r16_3_5_0.50,187.71,176.39,0.93
B-n31-k5-r16_3_5_1.00,211.36,176.39,1.05
B-n31-k5-r16_3_5_2.00,233.52,176.39,1.59
B-n34-k5-r8_1_2_0.50,239.91,204.44,2.58
B-n34-k5-r8_1_2_1.00,249.29,207.14,1.34
B-n34-k5-r8_1_2_2.00,239.48,205.00,1.08
B-n34-k5-r8_2_2_0.50,221.44,208.11,1.83
B-n34-k5-r8_2_2_1.00,205.00,205.00,0.95
B-n34-k5-r8_2_2_2.00,232.71,205.00,0.84
B-n34-k5-r8_3_2_0.50,242.28,196.68,3.15
B-n34-k5-r8_3_2_1.00,259.97,205.00,0.84
B-n34-k5-r8_3_2_2.00,244.58,205.00,0.64
B-n34-k5-r8_1_3_0.50,231.71,179.88,1.56
B-n34-k5-r8_1_3_1.00,208.10,164.41,1.45
B-n34-k5-r8_1_3_2.00,235.54,160.80,1.50
B-n34-k5-r8_2_3_0.50,193.34,175.13,1.06
B-n34-k5-r8_2_3_1.00,215.35,160.81,1.11
B-n34-k5-r8_2_3_2.00,220.11,160.80,1.13
B-n34-k5-r8_3_3_0.50,213.04,164.39,1.06
B-n34-k5-r8_3_3_1.00,195.65,160.80,1.15
B-n34-k5-r8_3_3_2.00,212.96,160.80,1.19
B-n34-k5-r8_1_4_0.50,201.04,158.48,1.00
B-n34-k5-r8_1_4_1.00,189.08,147.61,1.45
B-n34-k5-r8_1_4_2.00,186.57,139.59,1.70
B-n34-k5-r8_2_4_0.50,214.32,147.61,1.48
B-n34-k5-r8_2_4_1.00,205.83,140.41,0.97
B-n34-k5-r8_2_4_2.00,216.91,139.32,1.26
B-n34-k5-r8_3_4_0.50,215.29,142.39,1.76
B-n34-k5-r8_3_4_1.00,201.79,139.32,0.96
B-n34-k5-r8_3_4_2.00,235.65,139.32,1.35
B-n34-k5-r8_1_5_0.50,158.65,150.53,1.51
B-n34-k5-r8_1_5_1.00,205.39,147.61,0.88
B-n34-k5-r8_1_5_2.00,195.19,139.59,1.10
B-n34-k5-r8_2_5_0.50,214.79,147.61,0.86
B-n34-k5-r8_2_5_1.00,166.62,139.59,0.89
B-n34-k5-r8_2_5_2.00,189.51,139.32,0.83
B-n34-k5-r8_3_5_0.50,201.79,142.39,1.04
B-n34-k5-r8_3_5_1.00,156.16,139.32,1.02
B-n34-k5-r8_3_5_2.00,197.86,139.32,1.05
B-n34-k5-r12_1_2_0.50,218.15,208.89,1.30
B-n34-k5-r12_1_2_1.00,247.49,206.32,1.96
B-n34-k5-r12_1_2_2.00,222.21,200.33,0.77
B-n34-k5-r12_2_2_0.50,249.51,200.33,1.17
B-n34-k5-r12_2_2_1.00,227.81,200.33,0.95
B-n34-k5-r12_2_2_2.00,257.21,200.33,0.92
B-n34-k5-r12_3_2_0.50,238.95,200.33,1.01
B-n34-k5-r12_3_2_1.00,238.82,200.33,1.35
B-n34-k5-r12_3_2_2.00,205.00,200.33,0.84
B-n34-k5-r12_1_3_0.50,222.72,178.46,1.45
B-n34-k5-r12_1_3_1.00,200.33,159.04,2.06
B-n34-k5-r12_1_3_2.00,221.16,152.95,1.80
B-n34-k5-r12_2_3_0.50,219.11,165.51,1.65
B-n34-k5-r12_2_3_1.00,190.13,153.42,1.93
B-n34-k5-r12_2_3_2.00,218.01,161.24,1.04
B-n34-k5-r12_3_3_0.50,207.98,152.95,2.48
B-n34-k5-r12_3_3_1.00,200.33,153.57,1.83
B-n34-k5-r12_3_3_2.00,205.75,152.95,3.45
B-n34-k5-r12_1_4_0.50,203.69,156.31,2.92
B-n34-k5-r12_1_4_1.00,217.98,150.48,1.77
B-n34-k5-r12_1_4_2.00,219.47,146.20,1.07
B-n34-k5-r12_2_4_0.50,206.35,154.82,1.16
B-n34-k5-r12_2_4_1.00,219.14,146.20,1.49
B-n34-k5-r12_2_4_2.00,198.76,145.57,0.83
B-n34-k5-r12_3_4_0.50,206.35,145.57,0.91
B-n34-k5-r12_3_4_1.00,204.97,145.57,1.60
B-n34-k5-r12_3_4_2.00,243.12,145.57,1.73
B-n34-k5-r12_1_5_0.50,215.31,154.31,0.80
B-n34-k5-r12_1_5_1.00,164.69,147.27,1.62
B-n34-k5-r12_1_5_2.00,200.33,136.93,0.96
B-n34-k5-r12_2_5_0.50,205.59,154.31,0.84
B-n34-k5-r12_2_5_1.00,216.56,136.93,1.33
B-n34-k5-r12_2_5_2.00,171.77,136.93,1.12
B-n34-k5-r12_3_5_0.50,207.98,145.64,0.96
B-n34-k5-r12_3_5_1.00,213.91,136.93,1.17
B-n34-k5-r12_3_5_2.00,200.44,136.93,1.39
B-n34-k5-r16_1_2_0.50,226.25,199.55,1.24
B-n34-k5-r16_1_2_1.00,249.41,222.21,1.63
B-n34-k5-r16_1_2_2.00,229.27,197.81,1.47
B-n34-k5-r16_2_2_0.50,223.04,202.27,1.62
B-n34-k5-r16_2_2_1.00,255.04,201.22,1.02
B-n34-k5-r16_2_2_2.00,216.33,177.01,2.50
B-n34-k5-r16_3_2_0.50,258.74,216.96,1.47
B-n34-k5-r16_3_2_1.00,232.87,178.68,1.51
B-n34-k5-r16_3_2_2.00,222.34,176.63,1.18
B-n34-k5-r16_1_3_0.50,198.63,179.69,1.85
B-n34-k5-r16_1_3_1.00,202.07,170.30,1.85
B-n34-k5-r16_1_3_2.00,192.05,158.80,2.12
B-n34-k5-r16_2_3_0.50,229.19,184.56,1.97
B-n34-k5-r16_2_3_1.00,185.23,161.20,1.56
B-n34-k5-r16_2_3_2.00,209.85,147.81,1.71
B-n34-k5-r16_3_3_0.50,188.53,168.07,1.03
B-n34-k5-r16_3_3_1.00,191.65,157.12,1.26
B-n34-k5-r16_3_3_2.00,217.98,143.82,0.78
B-n34-k5-r16_1_4_0.50,200.13,160.61,2.16
B-n34-k5-r16_1_4_1.00,192.05,157.47,1.27
B-n34-k5-r16_1_4_2.00,195.76,151.19,0.89
B-n34-k5-r16_2_4_0.50,190.30,159.39,1.71
B-n34-k5-r16_2_4_1.00,201.79,148.64,1.92
B-n34-k5-r16_2_4_2.00,207.65,148.32,0.96
B-n34-k5-r16_3_4_0.50,198.96,156.54,3.50
B-n34-k5-r16_3_4_1.00,193.45,143.82,2.24
B-n34-k5-r16_3_4_2.00,202.50,137.74,0.96
B-n34-k5-r16_1_5_0.50,211.46,155.89,1.18
B-n34-k5-r16_1_5_1.00,157.17,150.59,1.68
B-n34-k5-r16_1_5_2.00,167.15,143.96,2.74
B-n34-k5-r16_2_5_0.50,211.21,155.89,0.77
B-n34-k5-r16_2_5_1.00,199.45,148.32,1.22
B-n34-k5-r16_2_5_2.00,149.04,137.74,1.39
B-n34-k5-r16_3_5_0.50,204.88,150.71,2.60
B-n34-k5-r16_3_5_1.00,160.29,154.83,1.12
B-n34-k5-r16_3_5_2.00,139.84,137.74,0.76
B-n35-k5-r8_1_2_0.50,293.69,273.31,0.87
B-n35-k5-r8_1_2_1.00,311.58,273.31,1.57
B-n35-k5-r8_1_2_2.00,330.18,272.93,1.71
B-n35-k5-r8_2_2_0.50,299.79,273.31,1.18
B-n35-k5-r8_2_2_1.00,283.13,272.77,0.78
B-n35-k5-r8_2_2_2.00,284.42,273.31,0.85
B-n35-k5-r8_3_2_0.50,291.81,273.31,0.87
B-n35-k5-r8_3_2_1.00,274.61,273.31,0.82
B-n35-k5-r8_3_2_2.00,292.80,272.77,0.91
B-n35-k5-r8_1_3_0.50,246.75,233.85,1.23
B-n35-k5-r8_1_3_1.00,249.15,233.85,0.94
B-n35-k5-r8_1_3_2.00,271.43,233.85,1.70
B-n35-k5-r8_2_3_0.50,272.80,233.85,1.00
B-n35-k5-r8_2_3_1.00,251.15,233.85,1.56
B-n35-k5-r8_2_3_2.00,252.93,233.85,499.98
B-n35-k5-r8_3_3_0.50,258.47,233.90,3.64
B-n35-k5-r8_3_3_1.00,266.74,233.85,1.31
B-n35-k5-r8_3_3_2.00,239.43,233.85,1.40
B-n35-k5-r8_1_4_0.50,246.78,233.69,0.82
B-n35-k5-r8_1_4_1.00,234.45,233.69,0.99
B-n35-k5-r8_1_4_2.00,268.90,233.69,0.83
B-n35-k5-r8_2_4_0.50,245.36,233.69,0.85
B-n35-k5-r8_2_4_1.00,248.74,233.69,0.76
B-n35-k5-r8_2_4_2.00,233.85,233.69,0.73
B-n35-k5-r8_3_4_0.50,256.75,233.69,0.77
B-n35-k5-r8_3_4_1.00,244.99,233.69,0.81
B-n35-k5-r8_3_4_2.00,252.27,233.69,1.17
B-n35-k5-r8_1_5_0.50,233.81,233.69,0.77
B-n35-k5-r8_1_5_1.00,248.88,233.69,0.75
B-n35-k5-r8_1_5_2.00,240.11,233.69,0.77
B-n35-k5-r8_2_5_0.50,248.25,233.69,0.72
B-n35-k5-r8_2_5_1.00,233.85,233.69,0.70
B-n35-k5-r8_2_5_2.00,233.86,233.69,0.70
B-n35-k5-r8_3_5_0.50,266.94,233.69,0.75
B-n35-k5-r8_3_5_1.00,236.17,233.69,0.69
B-n35-k5-r8_3_5_2.00,233.73,233.69,0.72
B-n35-k5-r12_1_2_0.50,313.33,254.96,0.82
B-n35-k5-r12_1_2_1.00,259.77,253.24,1.06
B-n35-k5-r12_1_2_2.00,278.13,254.60,1.54
B-n35-k5-r12_2_2_0.50,267.47,250.72,1.25
B-n35-k5-r12_2_2_1.00,263.33,254.60,1.30
B-n35-k5-r12_2_2_2.00,255.75,254.60,2.01
B-n35-k5-r12_3_2_0.50,273.47,254.60,1.04
B-n35-k5-r12_3_2_1.00,299.93,254.60,1.00
B-n35-k5-r12_3_2_2.00,254.99,254.60,1.43
B-n35-k5-r12_1_3_0.50,243.58,232.24,1.20
B-n35-k5-r12_1_3_1.00,234.99,231.82,0.86
B-n35-k5-r12_1_3_2.00,250.87,231.82,0.82
B-n35-k5-r12_2_3_0.50,274.66,231.82,1.13
B-n35-k5-r12_2_3_1.00,279.37,231.82,1.12
B-n35-k5-r12_2_3_2.00,234.64,231.82,1.05
B-n35-k5-r12_3_3_0.50,256.33,231.82,0.88
B-n35-k5-r12_3_3_1.00,253.58,231.82,0.97
B-n35-k5-r12_3_3_2.00,234.60,228.82,0.68
B-n35-k5-r12_1_4_0.50,251.96,212.41,1.11
B-n35-k5-r12_1_4_1.00,245.68,212.08,1.09
B-n35-k5-r12_1_4_2.00,255.13,212.08,0.85
B-n35-k5-r12_2_4_0.50,232.44,212.08,1.59
B-n35-k5-r12_2_4_1.00,234.99,212.08,0.86
B-n35-k5-r12_2_4_2.00,256.06,212.08,1.13
B-n35-k5-r12_3_4_0.50,266.11,212.08,1.20
B-n35-k5-r12_3_4_1.00,238.44,212.08,1.26
B-n35-k5-r12_3_4_2.00,245.89,212.08,0.94
B-n35-k5-r12_1_5_0.50,251.03,212.41,1.01
B-n35-k5-r12_1_5_1.00,233.69,212.08,0.92
B-n35-k5-r12_1_5_2.00,234.45,212.08,0.85
B-n35-k5-r12_2_5_0.50,243.01,212.08,0.77
B-n35-k5-r12_2_5_1.00,231.91,212.08,0.77
B-n35-k5-r12_2_5_2.00,229.33,212.08,0.73
B-n35-k5-r12_3_5_0.50,231.82,212.08,0.75
B-n35-k5-r12_3_5_1.00,212.08,212.08,0.67
B-n35-k5-r12_3_5_2.00,234.22,212.08,0.73
B-n35-k5-r16_1_2_0.50,305.42,255.00,0.92
B-n35-k5-r16_1_2_1.00,276.19,247.14,1.27
B-n35-k5-r16_1_2_2.00,291.22,246.39,1.29
B-n35-k5-r16_2_2_0.50,293.06,236.40,2.50
B-n35-k5-r16_2_2_1.00,284.00,246.39,1.38
B-n35-k5-r16_2_2_2.00,268.46,229.70,2.42
B-n35-k5-r16_3_2_0.50,276.28,252.18,1.09
B-n35-k5-r16_3_2_1.00,273.81,229.70,2.01
B-n35-k5-r16_3_2_2.00,264.07,229.99,1.83
B-n35-k5-r16_1_3_0.50,263.43,227.55,1.63
B-n35-k5-r16_1_3_1.00,255.38,219.85,2.20
B-n35-k5-r16_1_3_2.00,240.69,224.65,0.87
B-n35-k5-r16_2_3_0.50,249.38,224.27,1.07
B-n35-k5-r16_2_3_1.00,254.87,215.05,1.73
B-n35-k5-r16_2_3_2.00,249.01,224.65,1.11
B-n35-k5-r16_3_3_0.50,274.98,221.37,1.66
B-n35-k5-r16_3_3_1.00,230.54,229.70,1.48
B-n35-k5-r16_3_3_2.00,249.90,215.05,1.33
B-n35-k5-r16_1_4_0.50,242.97,216.06,0.99
B-n35-k5-r16_1_4_1.00,248.91,212.78,1.22
B-n35-k5-r16_1_4_2.00,217.93,208.72,0.96
B-n35-k5-r16_2_4_0.50,247.78,212.80,1.20
B-n35-k5-r16_2_4_1.00,238.95,208.72,0.81
B-n35-k5-r16_2_4_2.00,268.83,208.72,0.93
B-n35-k5-r16_3_4_0.50,230.32,208.72,1.65
B-n35-k5-r16_3_4_1.00,228.99,208.72,1.70
B-n35-k5-r16_3_4_2.00,255.06,208.72,0.84
B-n35-k5-r16_1_5_0.50,246.08,216.06,1.24
B-n35-k5-r16_1_5_1.00,237.00,212.78,0.91
B-n35-k5-r16_1_5_2.00,259.96,208.72,0.82
B-n35-k5-r16_2_5_0.50,247.51,212.80,1.19
B-n35-k5-r16_2_5_1.00,246.60,208.72,0.77
B-n35-k5-r16_2_5_2.00,233.05,208.72,0.91
B-n35-k5-r16_3_5_0.50,234.19,208.72,0.87
B-n35-k5-r16_3_5_1.00,247.76,208.72,0.69
B-n35-k5-r16_3_5_2.00,233.69,208.72,0.76
B-n38-k6-r8_1_2_0.50,262.97,217.26,1.36
B-n38-k6-r8_1_2_1.00,265.90,240.67,1.72
B-n38-k6-r8_1_2_2.00,235.04,217.26,1.12
B-n38-k6-r8_2_2_0.50,222.79,217.26,0.82
B-n38-k6-r8_2_2_1.00,260.80,228.44,1.12
B-n38-k6-r8_2_2_2.00,252.20,240.56,2.60
B-n38-k6-r8_3_2_0.50,274.11,240.67,1.40
B-n38-k6-r8_3_2_1.00,228.44,217.26,1.22
B-n38-k6-r8_3_2_2.00,265.36,217.26,1.02
B-n38-k6-r8_1_3_0.50,208.31,190.36,0.80
B-n38-k6-r8_1_3_1.00,203.07,190.36,0.90
B-n38-k6-r8_1_3_2.00,215.98,186.00,0.96
B-n38-k6-r8_2_3_0.50,219.16,190.36,0.83
B-n38-k6-r8_2_3_1.00,222.40,186.00,1.08
B-n38-k6-r8_2_3_2.00,236.37,190.36,0.90
B-n38-k6-r8_3_3_0.50,232.93,186.00,0.83
B-n38-k6-r8_3_3_1.00,205.16,190.36,0.82
B-n38-k6-r8_3_3_2.00,218.90,190.36,0.73
B-n38-k6-r8_1_4_0.50,195.72,190.36,0.74
B-n38-k6-r8_1_4_1.00,225.41,167.64,0.87
B-n38-k6-r8_1_4_2.00,185.39,167.64,0.79
B-n38-k6-r8_2_4_0.50,180.28,167.64,0.80
B-n38-k6-r8_2_4_1.00,179.78,167.64,0.86
B-n38-k6-r8_2_4_2.00,204.89,186.00,0.99
B-n38-k6-r8_3_4_0.50,195.30,167.64,0.99
B-n38-k6-r8_3_4_1.00,198.02,186.00,0.94
B-n38-k6-r8_3_4_2.00,212.97,186.00,1.07
B-n38-k6-r8_1_6_0.50,185.53,167.64,0.86
B-n38-k6-r8_1_6_1.00,185.53,167.64,0.95
B-n38-k6-r8_1_6_2.00,199.87,167.64,0.87
B-n38-k6-r8_2_6_0.50,185.53,167.64,1.14
B-n38-k6-r8_2_6_1.00,182.36,167.64,0.76
B-n38-k6-r8_2_6_2.00,173.07,167.64,0.85
B-n38-k6-r8_3_6_0.50,193.39,167.64,0.94
B-n38-k6-r8_3_6_1.00,190.77,167.64,0.74
B-n38-k6-r8_3_6_2.00,181.04,167.64,0.83
B-n38-k6-r12_1_2_0.50,221.96,217.38,0.79
B-n38-k6-r12_1_2_1.00,264.28,232.84,1.77
B-n38-k6-r12_1_2_2.00,278.72,242.53,2.11
B-n38-k6-r12_2_2_0.50,251.34,214.14,1.18
B-n38-k6-r12_2_2_1.00,251.40,209.77,0.87
B-n38-k6-r12_2_2_2.00,222.30,209.77,0.80
B-n38-k6-r12_3_2_0.50,230.36,210.72,1.02
B-n38-k6-r12_3_2_1.00,262.62,209.77,1.01
B-n38-k6-r12_3_2_2.00,282.37,209.77,1.19
B-n38-k6-r12_1_3_0.50,226.14,181.98,1.05
B-n38-k6-r12_1_3_1.00,229.64,181.41,0.78
B-n38-k6-r12_1_3_2.00,207.26,181.41,0.69
B-n38-k6-r12_2_3_0.50,192.27,181.41,0.73
B-n38-k6-r12_2_3_1.00,249.48,181.41,0.81
B-n38-k6-r12_2_3_2.00,214.53,181.41,0.77
B-n38-k6-r12_3_3_0.50,216.78,181.41,0.82
B-n38-k6-r12_3_3_1.00,202.00,181.41,0.73
B-n38-k6-r12_3_3_2.00,223.56,181.41,0.86
B-n38-k6-r12_1_4_0.50,195.72,182.36,0.84
B-n38-k6-r12_1_4_1.00,212.73,173.07,1.01
B-n38-k6-r12_1_4_2.00,213.87,173.07,0.85
B-n38-k6-r12_2_4_0.50,192.92,181.41,0.73
B-n38-k6-r12_2_4_1.00,193.85,173.07,0.94
B-n38-k6-r12_2_4_2.00,181.41,181.41,0.66
B-n38-k6-r12_3_4_0.50,222.89,181.41,0.84
B-n38-k6-r12_3_4_1.00,195.60,173.07,0.74
B-n38-k6-r12_3_4_2.00,234.57,181.41,0.79
B-n38-k6-r12_1_6_0.50,182.36,173.07,0.78
B-n38-k6-r12_1_6_1.00,182.36,173.07,0.92
B-n38-k6-r12_1_6_2.00,195.70,173.07,0.86
B-n38-k6-r12_2_6_0.50,182.36,173.07,0.78
B-n38-k6-r12_2_6_1.00,189.80,173.07,0.69
B-n38-k6-r12_2_6_2.00,180.96,173.07,0.74
B-n38-k6-r12_3_6_0.50,181.98,173.07,1.21
B-n38-k6-r12_3_6_1.00,181.41,173.07,0.74
B-n38-k6-r12_3_6_2.00,181.41,173.07,0.79
B-n38-k6-r16_1_2_0.50,267.55,218.22,0.82
B-n38-k6-r16_1_2_1.00,226.82,207.52,0.92
B-n38-k6-r16_1_2_2.00,250.34,181.92,1.41
B-n38-k6-r16_2_2_0.50,281.82,229.81,1.09
B-n38-k6-r16_2_2_1.00,233.51,181.34,1.56
B-n38-k6-r16_2_2_2.00,216.99,181.33,0.97
B-n38-k6-r16_3_2_0.50,226.88,184.74,1.28
B-n38-k6-r16_3_2_1.00,232.73,216.28,0.92
B-n38-k6-r16_3_2_2.00,250.21,181.33,9.66
B-n38-k6-r16_1_3_0.50,219.59,182.85,1.33
B-n38-k6-r16_1_3_1.00,242.14,172.56,1.07
B-n38-k6-r16_1_3_2.00,199.02,160.72,0.99
B-n38-k6-r16_2_3_0.50,217.69,172.56,1.00
B-n38-k6-r16_2_3_1.00,204.62,160.72,1.08
B-n38-k6-r16_2_3_2.00,216.38,160.72,0.91
B-n38-k6-r16_3_3_0.50,192.38,169.80,0.98
B-n38-k6-r16_3_3_1.00,213.53,160.72,1.24
B-n38-k6-r16_3_3_2.00,215.92,160.72,1.40
B-n38-k6-r16_1_4_0.50,209.69,183.23,0.82
B-n38-k6-r16_1_4_1.00,217.12,172.56,0.86
B-n38-k6-r16_1_4_2.00,196.21,160.72,1.04
B-n38-k6-r16_2_4_0.50,195.83,172.56,0.99
B-n38-k6-r16_2_4_1.00,185.75,160.72,0.87
B-n38-k6-r16_2_4_2.00,177.43,160.72,0.74
B-n38-k6-r16_3_4_0.50,217.12,169.80,0.73
B-n38-k6-r16_3_4_1.00,198.83,160.72,0.70
